Alimento,Doencas_Restritivas,Calorias,Refeicao_Indicada
Maçã,Colesterol Alto,203,Café da Manhã
Aveia,Diabetes Tipo 1,290,Jantar
Aveia,Osteoporose,302,Almoço
Brócolis,Osteoporose,363,Jantar
Tomate,Osteoporose,123,Almoço
Queijo Cottage,Diabetes Tipo 2,368,Lanche da Tarde
Couve,Insuficiência Renal,146,Almoço
Morango,Obesidade,455,Café da Manhã
Salmão,Obesidade,253,Lanche da Tarde
Blueberry,Diabetes Tipo 1,213,Café da Manhã
Blueberry,Osteoporose,234,Café da Manhã
Amêndoas,Diabetes Tipo 1,427,Café da Manhã
Banana,Diabetes Tipo 2,478,Jantar
Abobrinha,Doenças Cardíacas,244,Café da Manhã
Morango,Hipertensão,146,Café da Manhã
Blueberry,Doença Celíaca,142,Café da Manhã
Cenoura,Doenças Cardíacas,150,Jantar
Pimentão,Osteoporose,298,Jantar
Aveia,Hipertensão,124,Café da Manhã
Castanha de Caju,Osteoporose,405,Café da Manhã
Arroz Integral,Doença Celíaca,335,Lanche da Tarde
Brócolis,Colesterol Alto,239,Café da Manhã
Abacate,Diabetes Tipo 1,91,Almoço
Ovos,Obesidade,471,Jantar
Peito de Frango,Colesterol Alto,241,Lanche da Tarde
Lentilhas,Nenhuma,207,Almoço
Maçã,Hipertensão,403,Café da Manhã
Pepino,Diabetes Tipo 1,303,Lanche da Tarde
Acelga,Colesterol Alto,85,Lanche da Tarde
Blueberry,Colesterol Alto,284,Jantar
Tilápia,Insuficiência Renal,258,Almoço
Tomate,Nenhuma,134,Lanche da Tarde
Tomate,Diabetes Tipo 1,83,Jantar
Quinoa,Nenhuma,181,Almoço
Feijão Preto,Diabetes Tipo 1,401,Jantar
Banana,Colesterol Alto,287,Jantar
Brócolis,Nenhuma,150,Lanche da Tarde
Feijão Preto,Insuficiência Renal,394,Jantar
Batata Inglesa,Diabetes Tipo 2,240,Lanche da Tarde
Espinafre,Nenhuma,75,Café da Manhã
Morango,Insuficiência Renal,395,Café da Manhã
Acelga,Doença Celíaca,343,Café da Manhã
Iogurte Natural,Doenças Cardíacas,252,Café da Manhã
Carne Magra,Insuficiência Renal,274,Almoço
Grão-de-Bico,Nenhuma,245,Lanche da Tarde
Maçã,Doenças Cardíacas,177,Lanche da Tarde
Maçã,Osteoporose,241,Café da Manhã
Couve,Diabetes Tipo 1,263,Jantar
Peito de Frango,Doenças Cardíacas,127,Lanche da Tarde
Abobrinha,Nenhuma,146,Café da Manhã
Cenoura,Hipertensão,156,Jantar
Lentilhas,Hipertensão,55,Café da Manhã
Pão Integral,Doença Celíaca,327,Lanche da Tarde
Batata Inglesa,Nenhuma,218,Café da Manhã
Banana,Obesidade,191,Jantar
Banana,Doenças Cardíacas,77,Almoço
Acelga,Nenhuma,84,Café da Manhã
Abobrinha,Diabetes Tipo 1,434,Café da Manhã
Iogurte Natural,Insuficiência Renal,105,Almoço
Pepino,Osteoporose,299,Jantar
Semente de Linhaça,Doenças Cardíacas,94,Café da Manhã
Maçã,Diabetes Tipo 2,281,Café da Manhã
Quinoa,Doença Celíaca,226,Jantar
Acelga,Doenças Cardíacas,417,Café da Manhã
Amêndoas,Nenhuma,357,Jantar
Abacate,Doenças Cardíacas,365,Almoço
Iogurte Natural,Doença Celíaca,67,Jantar
Pão Integral,Nenhuma,402,Café da Manhã
Salmão,Osteoporose,274,Jantar
Pão Integral,Insuficiência Renal,317,Café da Manhã
Aveia,Colesterol Alto,476,Lanche da Tarde
Amêndoas,Colesterol Alto,248,Almoço
Couve,Diabetes Tipo 1,260,Almoço
Quinoa,Obesidade,339,Jantar
Lentilhas,Insuficiência Renal,101,Almoço
Abacate,Diabetes Tipo 2,486,Café da Manhã
Acelga,Diabetes Tipo 1,375,Almoço
Morango,Diabetes Tipo 1,131,Almoço
Lentilhas,Obesidade,488,Café da Manhã
Castanha de Caju,Hipertensão,316,Lanche da Tarde
Queijo Cottage,Colesterol Alto,254,Jantar
Peito de Frango,Nenhuma,91,Almoço
Acelga,Diabetes Tipo 1,465,Almoço
Maçã,Insuficiência Renal,309,Almoço
Batata Inglesa,Doenças Cardíacas,282,Almoço
Peito de Frango,Diabetes Tipo 1,276,Café da Manhã
Tofu,Doenças Cardíacas,476,Almoço
Maçã,Obesidade,400,Café da Manhã
Couve,Osteoporose,184,Jantar
Grão-de-Bico,Hipertensão,370,Café da Manhã
Tilápia,Diabetes Tipo 2,54,Jantar
Aveia,Diabetes Tipo 2,182,Lanche da Tarde
Grão-de-Bico,Insuficiência Renal,113,Almoço
Castanha de Caju,Colesterol Alto,286,Almoço
Queijo Cottage,Hipertensão,498,Almoço
Brócolis,Colesterol Alto,392,Lanche da Tarde
